AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,NOM_CD,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2024,2,HIDALGO,PACHUCA DE SOTO,PACHUCA DE SOTO,182,81,101,0,44.51,55.49,0.0
2024,2,JALISCO,GUADALAJARA,GUADALAJARA,855,641,209,5,74.97,24.44,0.58
2024,2,JALISCO,PUERTO VALLARTA,PUERTO VALLARTA,240,67,172,1,27.92,71.67,0.42
2024,2,JALISCO,SAN PEDRO TLAQUEPAQUE,SAN PEDRO TLAQUEPAQUE,261,169,90,2,64.75,34.48,0.77
2024,2,JALISCO,TLAJOMULCO DE ZUNIGA,TLAJOMULCO DE ZUNIGA,241,158,83,0,65.56,34.44,0.0
2024,2,JALISCO,TONALA,TONALA,256,169,87,0,66.02,33.98,0.0
2024,2,JALISCO,ZAPOPAN,ZAPOPAN,240,144,96,0,60.0,40.0,0.0
2024,2,MEXICO,ALMOLOYA DE JUAREZ,TOLUCA DE LERDO,5,5,0,0,100.0,0.0,0.0
2024,2,MEXICO,ATIZAPAN DE ZARAGOZA,ATIZAPAN DE ZARAGOZA,262,139,122,1,53.05,46.56,0.38
2024,2,MEXICO,CHIMALHUACAN,CHIMALHUACAN,269,205,64,0,76.21,23.79,0.0
2024,2,MEXICO,CUAUTITLAN IZCALLI,CUAUTITLAN IZCALLI,261,192,69,0,73.56,26.44,0.0
2024,2,MEXICO,ECATEPEC DE MORELOS,ECATEPEC DE MORELOS,269,225,44,0,83.64,16.36,0.0
2024,2,MEXICO,LERMA,TOLUCA DE LERDO,9,2,7,0,22.22,77.78,0.0
2024,2,MEXICO,METEPEC,TOLUCA DE LERDO,42,30,12,0,71.43,28.57,0.0
2024,2,MEXICO,NAUCALPAN DE JUAREZ,NAUCALPAN DE JUAREZ,265,237,28,0,89.43,10.57,0.0
2024,2,MEXICO,NEZAHUALCOYOTL,CIUDAD NEZAHUALCOYOTL,275,161,114,0,58.55,41.45,0.0
2024,2,MEXICO,SAN MATEO ATENCO,TOLUCA DE LERDO,17,9,8,0,52.94,47.06,0.0
2024,2,MEXICO,TLALNEPANTLA DE BAZ,TLALNEPANTLA DE BAZ,270,184,85,1,68.15,31.48,0.37
2024,2,MEXICO,TOLUCA,TOLUCA DE LERDO,163,139,24,0,85.28,14.72,0.0
2024,2,MEXICO,ZINACANTEPEC,TOLUCA DE LERDO,33,24,9,0,72.73,27.27,0.0
